quadkey,latitude,longitude,rwi,error
03330321012103,13.7207082,-14.9963379,-0.755,0.270
03330320031022,13.5071552,-16.3366699,-0.406,0.276
03330320123110,13.4003068,-15.8532715,-0.676,0.254
03330321013300,13.6566625,-14.8425293,-0.601,0.432
03330321003232,13.5925995,-15.2380371,-0.727,0.254
03330320032111,13.4003068,-16.3586426,-0.688,0.278
03330321010221,13.7847363,-15.0842285,-0.264,0.272
03330320300002,13.2078602,-16.1608887,-0.043,0.283
03330330020320,13.4430519,-13.9636230,-0.393,0.270
03330321013021,13.6993616,-14.9084473,-0.971,0.256
03330320030323,13.4216803,-16.4025879,-0.527,0.279
03330321013210,13.6566625,-14.8864746,-0.387,0.330
03330320300131,13.1864679,-16.0070801,-0.445,0.356
03330320300020,13.1864679,-16.1608887,0.053,0.261
03330320130013,13.5498812,-15.7434082,-0.263,0.321
03330321011221,13.7847363,-14.9084473,-0.894,0.256
03330321013333,13.5925995,-14.7766113,-0.750,0.263
03330320031122,13.5071552,-16.2487793,-0.399,0.267
03330320301013,13.2078602,-15.9191895,-0.104,0.268
03330321010223,13.7633955,-15.0842285,-0.669,0.271
03330321031320,13.4430519,-14.8425293,-0.759,0.258
03330320131011,13.5712413,-15.5676270,-0.386,0.352
03330321012032,13.6780130,-15.0622559,-0.673,0.281
03330320131323,13.4216803,-15.5236816,-0.346,0.277
03330321020113,13.5498812,-15.3039551,-0.426,0.275
03330320131111,13.5712413,-15.4797363,-0.875,0.272
03330320030311,13.4857894,-16.3586426,-0.333,0.298
03330320130131,13.5285192,-15.6555176,-0.245,0.273
03330321123030,13.3575541,-14.5349121,-0.565,0.261
03330330021020,13.5285192,-13.8757324,-0.512,0.264
03330321003322,13.5925995,-15.1940918,-0.123,0.274
03330320031102,13.5498812,-16.2487793,-0.256,0.250
03330320113313,13.6353101,-15.4797363,-0.621,0.264
03330320023002,13.3789314,-16.6882324,1.290,0.389
03330321002023,13.6780130,-15.4357910,-0.609,0.252
03330320131000,13.5712413,-15.6335449,-0.287,0.318
03330320300122,13.1650736,-16.0729980,-0.359,0.269
03330320113333,13.5925995,-15.4797363,0.080,0.261
03330320031120,13.5285192,-16.2487793,-0.370,0.282
03330320013333,13.5925995,-16.1828613,-0.682,0.259
03330321132113,13.3789314,-14.2492676,-0.270,0.304
03330320030131,13.5285192,-16.3586426,-0.349,0.304
03330321103212,13.6353101,-14.5349121,-0.728,0.256
03330321102313,13.6353101,-14.6008301,-0.727,0.256
03330320201121,13.1864679,-16.5783691,-0.142,0.302
03330320201120,13.1864679,-16.6003418,-0.338,0.280
03330320023022,13.3361750,-16.6882324,0.517,0.345
03330321030133,13.5071552,-14.9523926,-0.640,0.268
03330321120232,13.4216803,-14.7106934,-0.695,0.274
03330321132310,13.3147939,-14.2712402,-0.593,0.298
03330321013312,13.6353101,-14.7985840,-1.103,0.254
03330321132223,13.2506393,-14.3811035,-0.502,0.373
03330320023303,13.2934109,-16.5783691,-0.053,0.341
03330320012333,13.5925995,-16.3586426,-0.599,0.275
03330321003113,13.7207082,-15.1281738,-0.797,0.264
03330320123331,13.2720261,-15.8312988,-0.495,0.306
03330320130022,13.5071552,-15.8093262,-0.530,0.281
03330320121200,13.4857894,-15.9851074,-0.419,0.297
03330330021223,13.4216803,-13.8537598,-0.467,0.383
03330321002221,13.6139558,-15.4357910,-0.452,0.335
03330320131223,13.4216803,-15.6115723,-0.050,0.322
03330321013202,13.6353101,-14.9304199,-0.569,0.272
