quadkey,latitude,longitude,rwi,error
03333010301132,10.4121830,-7.4157715,-0.553,0.265
03331231332210,12.6296178,-5.9216309,-0.677,0.263
03331231332222,12.5652867,-5.9655762,-0.711,0.277
03331230322232,12.5652867,-7.6794434,-0.120,0.310
03331231113003,13.7207082,-5.7678223,-0.508,0.282
03331222100223,12.3936586,-10.5139160,-1.003,0.263
03331203010012,15.2523892,-9.4372559,-0.692,0.387
03331322102203,12.2648633,-4.8889160,-0.595,0.274
03331210323031,15.4007275,-7.4816895,-0.184,0.276
03331301200023,15.8873757,-4.1857910,-0.307,0.291
03331322110111,12.5438394,-4.4055176,0.007,0.263
03331312210312,14.4878712,-2.3181152,-0.588,0.247
03331221311130,13.1864679,-8.4704590,-0.565,0.269
03331230122013,13.3789314,-7.6574707,-0.927,0.277
03331221023121,13.3575541,-9.5471191,-0.308,0.289
03331230321002,12.8653594,-7.5476074,0.475,0.469
03331301220111,15.6124559,-4.0539551,-0.347,0.297
03331232320231,11.3831090,-7.6574707,-0.727,0.264
03331233131232,12.0500648,-5.7458496,-0.945,0.264
03331232202110,11.6845141,-8.2946777,-0.966,0.278
03331221231322,12.7368003,-9.2175293,-0.565,0.262
03331233010303,12.4365763,-6.5588379,-0.729,0.268
03331231331333,12.7368003,-5.6359863,-0.487,0.265
12220020333010,18.1354112,1.2854004,-0.564,0.266
03331320203303,12.9510290,-5.3283691,-0.386,0.264
03331310120013,16.2674138,-2.0324707,-0.570,0.256
03331200322132,15.3795428,-10.4040527,-0.550,0.274
03331321011323,13.7633955,-3.5705566,-0.815,0.260
03331322031210,12.1145226,-5.0427246,0.201,0.311
03331320200332,13.0794780,-5.4821777,-0.662,0.278
03331311303232,15.6336167,-0.4724121,-0.821,0.251
03331322202223,11.5338520,-5.5920410,-0.592,0.266
03331230101023,13.8487469,-7.5256348,0.059,0.280
03333011022202,10.5418209,-7.0202637,-0.832,0.254
03331213321231,14.1259215,-6.0754395,-0.742,0.278
03331231103211,13.6566625,-6.0754395,-0.337,0.394
03331311131312,16.1830238,-0.0329590,0.137,0.351
03331233032110,12.0285754,-6.5368652,-0.614,0.281
03331302231311,14.1685340,-4.9328613,-0.282,0.257
03331222031231,12.0715524,-10.6457520,-0.248,0.249
