quadkey,latitude,longitude,rwi,error
03333110000220,11.0382553,-2.8015137,-0.466,0.346
03333101302020,10.2608706,-3.5046387,-0.646,0.286
03331323013331,12.2433913,-3.5266113,-0.243,0.286
03331330200021,13.1864679,-2.7795410,-0.668,0.284
03331333123100,12.0285754,-0.4284668,-0.459,0.297
03331333021312,12.0930384,-1.0876465,-0.811,0.300
03333101210211,10.3905714,-3.7902832,-0.622,0.291
03331322323213,11.2322862,-4.6691895,-0.242,0.284
03331333132323,11.8781020,-0.2307129,-0.300,0.292
03331333321020,11.4692577,-0.5163574,0.647,0.366
03331332120030,12.1574857,-2.0544434,-0.371,0.352
12220220000230,13.7847363,0.0549316,-0.615,0.298
12220222121321,12.0715524,0.9997559,-0.458,0.288
03331321303303,12.9510290,-3.2189941,-0.600,0.283
03331333010030,12.5009395,-0.9997559,-0.608,0.286
03331332012232,12.2219175,-2.4060059,-0.239,0.370
03331332100112,12.5223904,-1.9665527,-0.233,0.288
03331333212232,11.5338520,-0.9997559,0.035,0.288
03331331233013,12.6939327,-0.8020020,-0.535,0.286
03333101033120,10.6066195,-3.5925293,-0.212,0.289
03331331011221,13.7847363,-0.8459473,-0.818,0.297
03331332030213,12.0930384,-2.3840332,-1.017,0.289
03331332132211,11.9426009,-1.6809082,0.035,0.306
03331333102332,12.2219175,-0.5603027,-0.447,0.401
03331321320300,12.8010881,-3.4167480,-0.822,0.289
12220220200032,13.1650736,0.0549316,-0.488,0.308
03333101113012,10.9735497,-2.9333496,0.050,0.327
12220223210020,11.8135879,1.7687988,-0.609,0.317
03331331130233,13.4216803,-0.2746582,-0.617,0.330
03331323001021,12.5009395,-4.0100098,-0.489,0.288
03331333132123,11.9640971,-0.2307129,-0.358,0.297
03333103111302,9.6765684,-2.8894043,-0.352,0.293
03331330300013,13.2078602,-2.0324707,-0.545,0.306
03333111001330,11.0382553,-1.0876465,-0.743,0.281
03331330223123,12.6510579,-2.5158691,-0.686,0.291
03331332122120,11.9855916,-2.0104980,-0.568,0.287
12220223211002,11.8350943,1.9445801,-0.421,0.292
03331323031331,12.0715524,-3.5266113,-0.682,0.295
03331322212233,11.5338520,-5.1965332,-0.033,0.294
03331321221211,12.8010881,-3.9660645,-0.302,0.304
12220220210123,13.1650736,0.4724121,-0.720,0.294
03331332032021,11.9855916,-2.4279785,-0.621,0.307
03331330321012,12.8653594,-1.8786621,-0.995,0.371
03331323330223,11.3615678,-3.1311035,-0.608,0.302
03333100303303,10.1960002,-4.6252441,-0.667,0.282
03331330122102,13.3789314,-2.0104980,-0.278,0.308
03331333120132,12.1360050,-0.5603027,-0.688,0.313
03331332121030,12.1574857,-1.8786621,-0.404,0.351
03331332112130,12.3292689,-1.6149902,1.028,0.428
12220220232303,12.6081759,0.4724121,-0.653,0.280
03331331230020,12.8439375,-1.0437012,-0.356,0.297
03331331230033,12.8225137,-0.9777832,-0.533,0.288
03331312301013,14.5729506,-1.8566895,-0.246,0.282
03331322213130,11.6414761,-4.9548340,-0.314,0.285
03331333000033,12.4794869,-1.3293457,-0.599,0.327
12220220132033,13.3361750,1.1315918,-0.699,0.292
12220222100332,12.3936586,0.8459473,-0.778,0.279
03331332220333,11.3615678,-2.6477051,-0.599,0.290
03331313022120,14.7217604,-1.3073730,-0.232,0.280
12220223211212,11.7490585,1.9885254,-0.711,0.286
03331312332102,14.0619878,-1.6589355,0.085,0.333
03331333031013,12.1789647,-0.8020020,-0.690,0.285
03333111100211,11.0813844,-0.6262207,-0.364,0.292
03331330233133,12.6510579,-2.1203613,-0.539,0.291
03331333132313,11.9211029,-0.1867676,-0.498,0.292
03331323322103,11.3184804,-3.3947754,-0.298,0.289
03331323003001,12.3721972,-4.0100098,-0.107,0.326
03331322230100,11.5123222,-5.1745605,-0.774,0.284
03331330322010,12.7153674,-2.0544434,-0.256,0.300
12220223001132,12.4794869,1.7248535,-0.423,0.284
03331332033323,11.8781020,-2.1643066,-0.257,0.308
03331333112003,12.3507339,-0.3186035,-0.851,0.288
03331321113121,13.6993616,-2.8674316,-0.402,0.285
03333100130010,10.8225151,-4.5153809,-0.734,0.278
03331312223230,13.9553920,-2.5817871,-0.725,0.281
03331321200232,13.0794780,-4.1638184,-0.221,0.294
03331332220003,11.4907908,-2.7795410,-0.693,0.295
03331331301332,13.0794780,-0.3845215,-0.391,0.315
03331330112230,13.6139558,-1.7028809,0.029,0.344
03331330031011,13.5712413,-2.2082520,-0.407,0.311
03331333201010,11.8565990,-1.1755371,-0.581,0.282
12220223012101,12.3721972,1.8786621,-0.635,0.343
03331330322112,12.6939327,-1.9665527,-0.420,0.305
12220223200102,11.8350943,1.5051270,-0.661,0.287
03331323110031,12.5009395,-3.0871582,-0.472,0.282
03331323200210,11.7705700,-4.1638184,-0.698,0.284
03333110010023,11.1029466,-2.4279785,-0.747,0.281
12220223013011,12.3721972,2.0104980,-0.650,0.284
03331323303303,11.5769066,-3.2189941,-0.414,0.355
03333101021100,10.8225151,-3.9440918,-0.386,0.293
03331333211012,11.8350943,-0.8239746,-0.577,0.301
03331333132202,11.9211029,-0.3405762,-0.386,0.299
03331321221201,12.8010881,-4.0100098,-0.150,0.288
03331330331210,12.8010881,-1.5270996,-0.486,0.317
03333100100322,11.0166883,-4.8229980,-0.367,0.375
03333100321102,10.1094859,-4.6472168,-0.103,0.284
03333101202230,10.1743738,-4.1638184,-0.817,0.283
03331313122301,14.6792536,-0.5822754,-0.351,0.290
03331333321110,11.5123222,-0.3845215,-0.717,0.290
12220222022223,11.8781020,0.0329590,-0.700,0.303
12220220020100,13.5712413,0.0988770,-0.518,0.295
03331323302102,11.6629959,-3.4167480,-0.250,0.290
03331331202301,12.9724418,-1.2854004,-0.804,0.294
03331331103113,13.7207082,-0.3625488,-0.416,0.294
03331330103201,13.6566625,-1.9006348,-0.118,0.300
03333100200132,10.4121830,-5.4821777,-0.463,0.279
12220223022332,11.8781020,1.5490723,-0.194,0.296
03331331030123,13.5071552,-0.9338379,-0.434,0.300
03331331022203,13.2934109,-1.3732910,-0.339,0.297
03331330303301,12.9724418,-1.8127441,-0.523,0.308
12220220121310,13.4857894,1.0217285,-0.524,0.291
03331313313320,14.2963234,-0.0769043,-0.458,0.309
03331312322331,13.9553920,-1.9445801,-0.167,0.292
03331331002210,13.6566625,-1.3513184,-0.699,0.291
12222000100031,11.1245072,0.7800293,-0.298,0.310
03333101130331,10.6929962,-2.9992676,-0.291,0.286
03331322231322,11.3615678,-4.9987793,-0.628,0.281
03331313223023,14.0193555,-1.1975098,-0.367,0.310
03331313331121,14.2111385,-0.0549316,-0.432,0.323
03331321202220,12.9296144,-4.2077637,-0.636,0.285
12220222032031,11.9855916,0.4284668,-0.154,0.288
03331330220100,12.8867796,-2.7136230,-0.501,0.288
03331322302112,11.6629959,-4.7790527,-0.240,0.293
03331322033320,11.8996033,-4.9987793,-0.359,0.291
03331330102113,13.7207082,-1.9445801,-0.991,0.296
12220220320211,12.8010881,0.7800293,-0.483,0.287
03331331002001,13.7420528,-1.3732910,-0.451,0.314
12220220033100,13.4003068,0.6262207,-0.219,0.300
03331330021232,13.4216803,-2.5817871,-0.573,0.343
03331332300010,11.8565990,-2.0544434,-0.758,0.283
03331322311013,11.8350943,-4.3176270,-0.504,0.319
03333101013022,10.9304048,-3.6804199,-0.499,0.336
03331333323221,11.2107336,-0.4943848,-0.550,0.304
03333101123301,10.5634219,-3.2189941,-0.091,0.395
03331323222303,11.2322862,-4.0979004,-0.547,0.311
03333101130110,10.8225151,-3.0212402,-0.331,0.281
12220220031211,13.4857894,0.6042480,-0.226,0.299
03331330120210,13.4857894,-2.0544434,-0.912,0.307
03331332002013,12.3507339,-2.7355957,-0.398,0.290
03331333310321,11.7275454,-0.2307129,-0.445,0.307
03333100132022,10.5850215,-4.5593262,-0.675,0.284
03331330201332,13.0794780,-2.4938965,-0.838,0.303
03331332231012,11.4907908,-2.2302246,-0.393,0.309
03331322122303,11.9211029,-4.8010254,-0.407,0.283
12220223011112,12.5223904,2.0764160,-0.304,0.288
